author,work,word count
plutarch,cicero,12411
plutarch,cimon,6066
plutarch,cleomenes,9255
plutarch,comparationis_aristophanes_et_menandri_compendium,725
plutarch,comparison_aegisalius_pompey,1159
plutarch,comparison_agis_cleomenes_gracchi,1050
plutarch,comparison_alcibiades_coriolanus,1156
plutarch,comparison_aristides_cato,1565
plutarch,comparison_demetrius_antony,948
plutarch,comparison_of_demosthenes_with_cicero,1052
plutarch,comparison_of_dion_and_brutus,1005
plutarch,comparison_of_lucullus_and_cimon,1056
plutarch,comparison_of_lycurgus_and_numa,1691
plutarch,comparison_of_lysander_sulla,1325
plutarch,comparison_of_nicias_and_crassus,1298
plutarch,comparison_of_pelopidas_and_marcellus,860
plutarch,comparison_of_pericles_and_fabius_maximus,771
plutarch,comparison_of_philopoemen_and_titus,583
plutarch,comparison_of_sertorius_and_eumenes,425
plutarch,comparison_of_solon_and_publicola,1004
plutarch,comparison_of_theseus_and_romulus,1228
plutarch,comparison_of_timoleon_and_aemilius,510
plutarch,conjugalia_praecepta,3810
plutarch,consolatio_ad_apollonium,9319
plutarch,consolatio_ad_uxorem,1976
plutarch,crassus,10602
plutarch,de_alexandri_magni_fortuna_aut_virtute,8391
plutarch,de_amicorum_multitudine,1840
plutarch,de_amore_prolis,2176
plutarch,de_animae_procreatione_in_timaeo,9538
plutarch,de_capienda_ex_inimicis_utilitate,3028
plutarch,de_cohibenda_ira,5490
plutarch,de_communibus_notitiis_adversus_stoicos,13897
plutarch,de_cupiditate_divitiarum,2279
plutarch,de_curiositate,3750
plutarch,de_defectu_oraculorum,13691
plutarch,de_e_delphos,4935
plutarch,de_esu_carnium,1608
plutarch,de_esu_carnium_2,1273
plutarch,de_exilio,3965
plutarch,de_faciae_quae_in_orbe_lunae_apparet,12768
plutarch,de_fato,3459
plutarch,de_fortuna,1273
plutarch,de_fortuna_romanorum,4625
plutarch,de_fraterno_amore,6681
plutarch,de_garrulitate,5932
plutarch,de_genio_socratis,11603
plutarch,de_gloria_atheniensium,2703
plutarch,de_herodoti_malignitate,9070
plutarch,de_invidia_et_odio,1020
plutarch,de_iside_et_osiride,16111
